Action,File,Sheet,Ref,Date,Venue,Detail
SOURCE_TIME_CORRECTED_TO_SESSION_MODE,Tennis Register 2025 (2).xlsx,Calthorpe,R332,2026-07-17,Calthorpe Wellbeing Hub,12:15:00-13:17:00 -> 12:15:00-13:15:00
SOURCE_TIME_CORRECTED_TO_SESSION_MODE,Tennis Register 2025 (2).xlsx,Calthorpe,R333,2026-07-17,Calthorpe Wellbeing Hub,12:15:00-13:18:00 -> 12:15:00-13:15:00
SOURCE_TIME_CORRECTED_TO_SESSION_MODE,Tennis Register 2025 (2).xlsx,Cannon Hill,R68,2026-06-02,Cannon Hill Park,11:30:00-12:31:00 -> 11:30:00-12:30:00
REVIEW_SOURCE_CARD_NAME_CONFLICT,multiple,,,,,"card 484 names=['Saffiyah', 'Shukriya Aabdulkerim']"
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2024.xlsx,Tennis,R4,,,Joy Williams -> card 700
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2024.xlsx,Tennis,R5,,,Sylvia Williams -> card 771
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2024.xlsx,Tennis,R54,,,Kalsoom Iqbal -> card 1023
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2024.xlsx,Tennis,R64,,,Zaida Rahman -> card 625
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2024.xlsx,Tennis,R29,,,Zaida Rahman -> card 625
SOURCE_NAME_INFERRED_FROM_CARD,Tennis Register 2025 (2).xlsx,Handsworth,R5,,,card 841 -> Adama
SOURCE_NAME_INFERRED_FROM_CARD,Tennis Register 2025 (2).xlsx,Handsworth,R7,,,card 841 -> Adama
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Parkfield,R5,,,Nuha Aied Eisa Mohamed -> card 523
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Parkfield,R6,,,Tayyaba Nazir -> card 526
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Parkfield,R14,,,Nuha Aied Eisa Mohamed -> card 523
SOURCE_NAME_INFERRED_FROM_CARD,Tennis Register 2025 (2).xlsx,Handsworth,R17,,,card 841 -> Adama
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Calthorpe,R15,,,Yaz Saleh -> card 996
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Parkfield,R23,,,Tayyaba Nazir -> card 526
SOURCE_NAME_INFERRED_FROM_CARD,Tennis Register 2025 (2).xlsx,Handsworth,R21,,,card 841 -> Adama
SOURCE_NAME_INFERRED_FROM_CARD,Tennis Register 2025 (2).xlsx,Handsworth,R22,,,card 842 -> Aasia
SOURCE_NAME_INFERRED_FROM_CARD,Tennis Register 2025 (2).xlsx,Handsworth,R29,,,card 841 -> Adama
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Handsworth,R30,,,Zaib Unnisa -> card 543
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Calthorpe,R58,,,yaz Saleh -> card 996
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Calthorpe,R69,,,yaz Saleh -> card 996
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Parkfield,R66,,,Tayyaba Nazir -> card 526
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Parkfield,R73,,,Tayyaba Nazir -> card 526
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Parkfield,R76,,,Tayyaba Nazir -> card 526
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Parkfield,R81,,,Tayyaba Nazir -> card 526
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Parkfield,R89,,,Tayyaba Nazir -> card 526
SOURCE_NAME_INFERRED_FROM_CARD,Tennis Register 2025 (2).xlsx,Calthorpe,R136,,,card 543 -> Zaib Unnisa
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Parkfield,R100,,,Tayyaba Nazir -> card 526
SOURCE_NAME_INFERRED_FROM_CARD,Tennis Register 2025 (2).xlsx,Calthorpe,R171,,,card 1536 -> Anisah Kassim
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Parkfield,R107,,,Tayyaba Nazir -> card 526
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Parkfield,R113,,,Tayyaba Nazir -> card 526
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Calthorpe,R210,,,Djemilah Isakjee -> card 559
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Calthorpe,R211,,,Faryaal Safdar -> card 560
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Parkfield,R117,,,Tayyaba Nazir -> card 526
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Calthorpe,R237,,,Faryaal Safdar -> card 560
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Calthorpe,R239,,,lorraine blake -> card 704
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Parkfield,R124,,,Nuha Aied Eisa Mohamed -> card 523
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Parkfield,R125,,,Tayyaba Nazir -> card 526
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Calthorpe,R258,,,Djemilah Isakjee -> card 559
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Calthorpe,R259,,,Faryaal Safdar -> card 560
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Parkfield,R129,,,Tayyaba Nazir -> card 526
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Calthorpe,R277,,,Djemilah Isakjee -> card 559
SOURCE_NAME_INFERRED_FROM_CARD,Tennis Register 2025 (2).xlsx,Calthorpe,R318,,,card 638 -> Hamda Mohammed
SOURCE_NAME_INFERRED_FROM_CARD,Tennis Register 2025 (2).xlsx,Calthorpe,R324,,,card 996 -> yazmin saleh
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Calthorpe,R337,,,Djemilah Isakjee -> card 559
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Calthorpe,R338,,,Faryaal Safdar -> card 560
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Calthorpe,R349,,,Faryaal Safdar -> card 560
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Calthorpe,R354,,,Djemilah Isakjee -> card 559
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Calthorpe,R356,,,Djemilah Isakjee -> card 559
SOURCE_CARD_RESOLVED_FROM_OTHER_ROW,Tennis Register 2025 (2).xlsx,Calthorpe,R357,,,Faryaal Safdar -> card 560
SKIP_SOURCE_DUPLICATE_ATTENDANCE,Tennis Register 2025 (2).xlsx,Calthorpe,R34,2026-01-28,Calthorpe Wellbeing Hub,"duplicate identity ('CARD', '700')"
SKIP_SOURCE_DUPLICATE_ATTENDANCE,Tennis Register 2025 (2).xlsx,Handsworth,R78,2026-04-21,Handsworth,"duplicate identity ('CARD', '1034')"
SKIP_SOURCE_DUPLICATE_ATTENDANCE,Tennis Register 2025 (2).xlsx,Handsworth,R79,2026-04-21,Handsworth,"duplicate identity ('NAME', 'zabusa', '')"
SKIP_SOURCE_DUPLICATE_ATTENDANCE,Tennis Register 2025 (2).xlsx,St Albans,R151,2026-04-21,St Albans,"duplicate identity ('NAME', 'a h', '')"
SKIP_SOURCE_DUPLICATE_ATTENDANCE,Tennis Register 2025 (2).xlsx,St Albans,R152,2026-04-21,St Albans,"duplicate identity ('NAME', 'a n', '')"
